,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,R_hat
log_lik[6524],-0.369066,0.000657136,0.0412298,0.0420569,-0.437472,-0.36751,-0.302201,3904.45,1266.05,0.999695
log_lik[6525],-4.25555,0.0269705,0.763971,0.381302,-5.92393,-3.97771,-3.62589,913.404,1112.36,1.00016
log_lik[6526],-0.644845,0.000913235,0.0600973,0.0605961,-0.745124,-0.643674,-0.55181,4363.75,1403.14,1.00044
log_lik[6527],-0.644845,0.000913235,0.0600973,0.0605961,-0.745124,-0.643674,-0.55181,4363.75,1403.14,1.00044
log_lik[6528],-0.644845,0.000913235,0.0600973,0.0605961,-0.745124,-0.643674,-0.55181,4363.75,1403.14,1.00044
log_lik[6529],-0.644845,0.000913235,0.0600973,0.0605961,-0.745124,-0.643674,-0.55181,4363.75,1403.14,1.00044
log_lik[6530],-0.644845,0.000913235,0.0600973,0.0605961,-0.745124,-0.643674,-0.55181,4363.75,1403.14,1.00044
log_lik[6531],-0.644845,0.000913235,0.0600973,0.0605961,-0.745124,-0.643674,-0.55181,4363.75,1403.14,1.00044
log_lik[6532],-0.644845,0.000913235,0.0600973,0.0605961,-0.745124,-0.643674,-0.55181,4363.75,1403.14,1.00044
log_lik[6533],-0.644845,0.000913235,0.0600973,0.0605961,-0.745124,-0.643674,-0.55181,4363.75,1403.14,1.00044
log_lik[6534],-0.644845,0.000913235,0.0600973,0.0605961,-0.745124,-0.643674,-0.55181,4363.75,1403.14,1.00044
log_lik[6535],-1.02524,0.00626445,0.310686,0.178535,-1.59754,-0.938775,-0.744432,3279.68,1313.03,1.00159
log_lik[6536],-0.644845,0.000913235,0.0600973,0.0605961,-0.745124,-0.643674,-0.55181,4363.75,1403.14,1.00044
log_lik[6537],-0.644845,0.000913235,0.0600973,0.0605961,-0.745124,-0.643674,-0.55181,4363.75,1403.14,1.00044
log_lik[6538],-0.998346,0.004542,0.244648,0.166081,-1.43681,-0.93637,-0.746956,3480.45,1505.97,0.999673
log_lik[6539],-0.644845,0.000913235,0.0600973,0.0605961,-0.745124,-0.643674,-0.55181,4363.75,1403.14,1.00044
log_lik[6540],-0.644845,0.000913235,0.0600973,0.0605961,-0.745124,-0.643674,-0.55181,4363.75,1403.14,1.00044
log_lik[6541],-1.00819,0.00459277,0.224075,0.163145,-1.39937,-0.962544,-0.758949,3065.41,1594.76,1.00209
log_lik[6542],-1.02228,0.00397722,0.212715,0.164995,-1.41601,-0.978216,-0.767985,2896.65,1257.68,1.00076
log_lik[6543],-1.0524,0.00404505,0.217799,0.175177,-1.47002,-1.01483,-0.790324,2799.21,1359.43,1.00151
log_lik[6544],-1.12263,0.00500592,0.259386,0.207161,-1.6187,-1.06845,-0.818579,2675.08,1684.95,1.00252
log_lik[6545],-5.23763,0.0314152,1.51741,1.49221,-8.02007,-5.05314,-3.04322,2497.58,1792.27,1.00207
log_lik[6546],-1.15466,0.00549551,0.271726,0.210081,-1.65367,-1.09492,-0.828687,2481.04,1504.36,1.00225
log_lik[6547],-2.3708,0.00893145,0.41187,0.399828,-3.17511,-2.27921,-1.87197,2447.5,1645.48,1.00288
log_lik[6548],-1.04046,0.00399252,0.207718,0.165834,-1.45771,-0.99661,-0.795608,2597.91,1451.62,1.00056
log_lik[6549],-0.996731,0.0035977,0.186507,0.144362,-1.35102,-0.958182,-0.770451,2666.75,1515.15,1.00064
log_lik[6550],-0.972615,0.00364194,0.184492,0.139438,-1.3263,-0.936073,-0.752334,2905.33,1460.65,0.999969
log_lik[6551],-0.962334,0.00343038,0.184085,0.137428,-1.30842,-0.924611,-0.749824,2949.21,1573.93,0.999508
log_lik[6552],-0.644845,0.000913235,0.0600973,0.0605961,-0.745124,-0.643674,-0.55181,4363.75,1403.14,1.00044
log_lik[6553],-0.644845,0.000913235,0.0600973,0.0605961,-0.745124,-0.643674,-0.55181,4363.75,1403.14,1.00044
log_lik[6554],-0.644845,0.000913235,0.0600973,0.0605961,-0.745124,-0.643674,-0.55181,4363.75,1403.14,1.00044
log_lik[6555],-0.939579,0.00372502,0.190412,0.128528,-1.27425,-0.896524,-0.735255,3023.39,1537.44,1.00256
log_lik[6556],-0.942105,0.00379943,0.196628,0.129241,-1.31049,-0.898733,-0.734873,3121.55,1694.79,1.00191
log_lik[6557],-0.644845,0.000913235,0.0600973,0.0605961,-0.745124,-0.643674,-0.55181,4363.75,1403.14,1.00044
log_lik[6558],-0.644845,0.000913235,0.0600973,0.0605961,-0.745124,-0.643674,-0.55181,4363.75,1403.14,1.00044
